"a0","lc_a0","deriv_lc","second_deriv_lc","dataset"
0,-6.52218938292926e-05,-1126.82097150037,197771.512622003,"dataset_2"
0.05,-19.8747574365132,-259.542831235989,1747.57634772244,"dataset_2"
0.1,-31.3427712202422,-209.103794171018,616.388483499395,"dataset_2"
0.15,-41.1860074519182,-187.358184794255,319.006969478418,"dataset_2"
0.2,-50.2185244332421,-175.152992906398,194.234962402043,"dataset_2"
0.25,-58.7385060087433,-166.252417246965,130.567736783538,"dataset_2"
0.3,-66.9073756581301,-160.725148008605,106.934824168569,"dataset_2"
0.35,-74.8143481644562,-156.17070056155,79.3094035428003,"dataset_2"
0.4,-82.529998934574,-152.684407978341,62.7595559086003,"dataset_2"
0.45,-90.076107704197,-149.521616787476,52.1720355311954,"dataset_2"
0.5,-97.4893327233592,-147.156838045052,44.8569102131696,"dataset_2"
0.55,-104.794492456122,-145.074445685356,37.8941101724486,"dataset_2"
0.6,-112.004906541427,-143.428504979257,33.9560371556181,"dataset_2"
0.65,-119.136989936192,-141.916045479649,28.5132265884058,"dataset_2"
0.7,-126.202070966991,-140.524710471405,24.663044084482,"dataset_2"
0.75,-133.196280657406,-139.400744149313,21.4055683381303,"dataset_2"
0.8,-140.140583883138,-138.433010400569,19.525622189627,"dataset_2"
0.85,-147.038568589979,-137.411427282938,16.6620050327292,"dataset_2"
0.9,-153.900166476252,-136.437425706894,16.3295876377524,"dataset_2"
0.95,-160.710095664189,-135.999281046102,13.9366529558647,"dataset_2"
1,-167.487022479145,-135.174528447773,12.98869102147,"dataset_2"
