"a0","deriv_lc","second_deriv_lc"
0,-362.586146631575,59.7986951774219
0.05,-359.275112994053,52.7591165512131
0.1,-357.084134631474,51.8196377449203
0.15,-354.518200410702,44.0269473606459
0.2,-352.7647643536,39.9826745788741
0.25,-350.611097286646,32.0863056763337
0.3,-348.98868942669,31.8267269071948
0.35,-347.410461266253,28.604795828709
0.4,-345.810879314918,24.4372155407327
0.45,-344.957694257367,25.2027334371232
0.5,-343.640621549599,21.4658193758951
0.55,-342.657692962173,19.009534753699
0.6,-341.655754903238,18.2016310371691
0.65,-340.805672510827,16.2224637495528
0.7,-339.935446255016,15.3123119632946
0.75,-339.443470600189,13.9775460079109
0.8,-338.463636373859,13.033251301531
0.85,-337.857704435185,11.9957332976628
0.9,-337.373387890541,11.5588880932482
0.95,-336.911217925976,10.8840180513798
1,-336.235303447715,9.86071500820981
