"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.129859102351571,-7.89322810220876e+290,NA
0.05,-91.5359272077473,-1439.43918619475,1255.74904022715
0.1,-160.767896494484,-970.618308370003,566688.776443754
0.15,-232.098983395736,-1390.26100263091,246.204733962193
0.2,-301.329846530796,-1383.82158700405,168.067209929461
0.25,-370.217551625941,-1377.29530930315,50.3548357945401
0.3,-439.029233229758,-1375.28905309363,35.0417027666699
0.35,-507.743573780576,-1373.62271408638,22.9002795845736
0.4,-576.415470959034,-1372.6816869154,18.9362762051169
0.45,-645.030283096267,-1371.7574896235,15.4916321900673
0.5,-713.593193302556,-1371.08069192334,12.2362132652197
0.55,-782.147766388972,-1370.52356941536,10.1367253859062
0.6,-850.654753911777,-1370.0693337571,8.7034952682443
0.65,-919.146053475712,-1369.64672200906,7.47662446228787
0.7,-987.626453170666,-1369.39262509583,6.32594720344059
0.75,-1056.0777851442,-1369.18672755264,5.85057085053995
0.8,-1124.52776030961,-1368.76141676499,4.74445368442684
0.85,-1192.96551137038,-1368.63044639543,4.16383517929353
0.9,-1261.39947026022,-1368.46319587711,3.89144783094525
0.95,-1329.80405097054,-1368.21293282451,3.28116289456375
1,-1398.20857718722,-1368.06607158165,3.11707984679379
