"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.00712357952346182,-522.997795325186,36700.6632082444
0.05,-18.8987343680407,-354.112757096004,207.107410403696
0.1,-36.4478779333022,-349.156566983634,60.343689040732
0.15,-53.8462128832549,-347.091129956659,23.0700354590808
0.2,-71.1775158441864,-346.377369313244,14.9315908964782
0.25,-88.4816793014075,-345.912413568276,9.4663810460188
0.3,-105.760731375402,-345.465989067138,5.61941105447477
0.35,-123.02964554571,-345.241413409375,4.35454943827062
0.4,-140.28494255362,-345.02721159729,3.18403264672088
0.45,-157.534045293771,-344.936463220935,2.84469508139591
0.5,-174.773654799367,-344.803901001407,2.05784836917883
0.55,-192.009591753114,-344.749948452378,1.92082881166425
0.6,-209.242879491463,-344.645356554556,1.50690430882969
0.65,-226.471976769284,-344.521366281557,1.09299542836379
0.7,-243.696246440688,-344.472027291695,0.943371611152543
0.75,-260.91889649818,-344.447414401296,0.943884067077306
0.8,-278.140027606972,-344.375309059461,0.759083809607546
0.85,-295.360125361659,-344.362470810012,0.72152656596154
0.9,-312.576599677479,-344.322638659706,0.609210903392523
0.95,-329.795541440369,-344.258645040814,0.466357425495517
1,-347.007641060588,-344.27911362715,0.538465365025331
