"a0","lc_a0","deriv_lc","second_deriv_lc"
0,-0.000219199626226629,-1142.58958735304,144354.64944089
0.05,-29.3074742599586,-494.232277083894,935.572770623665
0.1,-53.3236130933437,-471.228795380765,239.533570808067
0.15,-76.6749310973369,-463.410750288836,107.93877574848
0.2,-99.7392500374533,-459.334950811075,58.288828178338
0.25,-122.652547302841,-457.208061789007,39.0529140866129
0.3,-145.461782467052,-455.667766058863,29.9648500999319
0.35,-168.212741177185,-454.254303225253,18.5532032683259
0.4,-190.908041110296,-453.480291359028,16.1609811017988
0.45,-213.565831822277,-452.665510270986,12.0229233843565
0.5,-236.187001253756,-452.117640065972,9.3541191223776
0.55,-258.783261404684,-451.758077585616,7.81823281332618
0.6,-281.366495346911,-451.497991690772,6.83739553546184
0.65,-303.929134908495,-451.17994524206,6.20216227709898
0.7,-326.473560159077,-450.756434930914,4.81933771792683
0.75,-349.005666991466,-450.605752075567,4.57684555798187
0.8,-371.530661114546,-450.299918438453,3.68440778413787
0.85,-394.051392163003,-450.133635690175,3.4970044416259
0.9,-416.547298003943,-450.125476218842,3.33616831418476
0.95,-439.047475152988,-449.841366717845,2.84858848463045
1,-461.537701616755,-449.715299635733,2.38907474593725
