"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.00520920985381812,-1127.47664283121,214731.918263857
0.05,-18.584263163924,-234.745541393171,1594.42342914546
0.1,-28.8916174779619,-185.982304058826,576.569082681483
0.15,-37.6375163368823,-164.806484507615,303.972987755966
0.2,-45.5822083731734,-153.602156056323,193.479228568489
0.25,-53.02655560707,-145.120350635793,142.450246635206
0.3,-60.1240922763312,-139.062155242309,95.2425939926761
0.35,-66.9715000724377,-134.569116893077,77.1005972632156
0.4,-73.5999581559125,-131.044765268204,62.4691320888996
0.45,-80.0866389232872,-128.250749005206,54.8163190044543
0.5,-86.4290172117943,-125.469893432045,46.2277628416523
0.55,-92.6559989031002,-123.424664879858,37.8916621036897
0.6,-98.7928143798805,-121.69152949356,33.100140522698
0.65,-104.835180002453,-120.222823026497,29.4181869065724
0.7,-110.815020912353,-118.69220291292,25.05072374468
0.75,-116.725328760783,-117.572557027494,22.5290915081496
0.8,-122.582787356499,-116.563123813916,19.6306384415984
0.85,-128.383350566089,-115.399574711666,19.1055655837263
0.9,-134.142018284673,-114.583731390066,16.0418357272792
0.95,-139.859833322115,-113.910293679085,15.3167044240927
1,-145.534041249578,-113.113098124241,14.0774977197962
