"a0","lc_a0","deriv_lc","second_deriv_lc"
0,0.399429549540086,-4593.82309801932,3232809.53657787
0.05,-118.303516078966,-2223.74726377048,933.952938982286
0.1,-228.778016778739,-2200.24808438315,244.621578857303
0.15,-338.546876023822,-2192.28353762413,116.098564510234
0.2,-448.033053141226,-2187.98891193419,67.4186866115779
0.25,-557.36117293756,-2185.38088530065,39.0961849475279
0.3,-666.589259412904,-2183.61695472558,26.5646924031898
0.35,-775.737515929108,-2182.5457549713,20.6133055342361
0.4,-884.843713583398,-2181.61058707501,15.1185174072161
0.45,-993.903922342696,-2181.03872156977,12.0255023539066
0.5,-1102.93675207333,-2180.4583341858,9.95623609144241
0.55,-1211.94919833357,-2179.9882776785,8.44200527388602
0.6,-1320.93459833592,-2179.6055098061,6.88017016556114
0.65,-1429.90287721802,-2179.19454911367,5.84387883730233
0.7,-1538.86282192448,-2178.84795417474,4.51466864533722
0.75,-1647.80582951099,-2178.73377906071,4.38674675580114
0.8,-1756.72916899189,-2178.56608004486,3.96084718871862
0.85,-1865.65224820878,-2178.41876127229,3.56144556961954
0.9,-1974.56662406753,-2178.16292033474,3.15047006495297
0.95,-2083.47064889423,-2178.07839562442,2.93840395566076
1,-2192.36911693909,-2177.88682247299,2.40374981611967
