"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.134767849348052,0.20371181474997,0.279747877079243,0
"2","theta[1]",0.134559068306043,0.206454859535489,0.289244197147115,0.05
"3","theta[1]",0.135230079300098,0.206330085348774,0.285358793119926,0.1
"4","theta[1]",0.137380180452915,0.205121711783001,0.283011554919708,0.221428571428571
"5","theta[1]",0.140226458675638,0.203611436513886,0.271488054877576,0.342857142857143
"6","theta[1]",0.144493169966458,0.204203352484982,0.270532652936608,0.464285714285714
"7","theta[1]",0.144202627936186,0.203467691136354,0.26872922656822,0.585714285714286
"8","theta[1]",0.146261665334632,0.203439864409763,0.265196368709364,0.707142857142857
"9","theta[1]",0.148067755170747,0.202289713316658,0.262035806093531,0.828571428571429
"10","theta[1]",0.149329750070532,0.203028595147949,0.261961232723947,0.95
"11","theta[1]",0.150239312377696,0.203243805159313,0.261980770907492,1
