"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-0.111690115537538,-0.0974789566030742,-0.0831470546166983,0
"2","sigma[1]",0.00842860242673673,0.010263492843627,0.0125925335060917,0
"3","mu[1]",-0.111035864755372,-0.0975420000500436,-0.0840159033680165,0.05
"4","sigma[1]",0.00841566691589829,0.010115295707363,0.0121996591159022,0.05
"5","mu[1]",-0.111391340529194,-0.0976747983614828,-0.0846143545702302,0.1
"6","sigma[1]",0.00827189208655408,0.0100068876355477,0.0120218638116127,0.1
"7","mu[1]",-0.109897473570441,-0.0979765249239213,-0.0859777339112394,0.679411764705882
"8","sigma[1]",0.00724909101397748,0.00875281156983593,0.0105302845769206,0.679411764705882
"9","mu[1]",-0.109266076615989,-0.0984086635466528,-0.0878562100662092,1.25882352941176
"10","sigma[1]",0.00653147743427324,0.0077745707595633,0.00921858765437447,1.25882352941176
"11","mu[1]",-0.107852211438077,-0.0984249850534641,-0.0889470677424942,1.83823529411765
"12","sigma[1]",0.00597398219528094,0.00702383499484026,0.00828264082954563,1.83823529411765
"13","mu[1]",-0.106795263085332,-0.098389283769005,-0.090157287128827,2.41764705882353
"14","sigma[1]",0.0054579364589674,0.0063748313597356,0.00745488027588918,2.41764705882353
"15","mu[1]",-0.106919645004803,-0.0987616803667187,-0.0909532080463873,2.99705882352941
"16","sigma[1]",0.00502286318983668,0.00584732922152934,0.00681616691312067,2.99705882352941
"17","mu[1]",-0.106207773472348,-0.0988208499159602,-0.0913510198750837,3.57647058823529
"18","sigma[1]",0.00469988098885251,0.00540068511890636,0.00622518859287405,3.57647058823529
"19","mu[1]",-0.105834625340529,-0.0988615545695252,-0.0918112932549477,4.15588235294118
"20","sigma[1]",0.00437918157383095,0.00503040282494911,0.00576387096583215,4.15588235294118
"21","mu[1]",-0.105354800541412,-0.0989344944896327,-0.0927040896914347,4.73529411764706
"22","sigma[1]",0.00410657479505931,0.00469048530319829,0.00538181312843026,4.73529411764706
"23","mu[1]",-0.105080463007681,-0.0990226908470982,-0.0931211668017249,5.31470588235294
"24","sigma[1]",0.00388883871402999,0.00440882169586111,0.00499943823309685,5.31470588235294
"25","mu[1]",-0.104618508967217,-0.0990381755518917,-0.0935802225612352,5.89411764705882
"26","sigma[1]",0.00365821719545114,0.00414098137510693,0.00470388680382336,5.89411764705882
"27","mu[1]",-0.104459668545762,-0.0990492475197707,-0.093631968139723,6.47352941176471
"28","sigma[1]",0.00345891383060027,0.00391573867611767,0.00441176199849372,6.47352941176471
"29","mu[1]",-0.103933103715082,-0.0990957203048513,-0.0942830150894504,7.05294117647059
"30","sigma[1]",0.003277727904726,0.00369816696840193,0.00417548632138158,7.05294117647059
"31","mu[1]",-0.104067314311038,-0.0992004681285732,-0.0943508487680673,7.63235294117647
"32","sigma[1]",0.00315870765704593,0.00353731428305758,0.00397522592083641,7.63235294117647
"33","mu[1]",-0.103802505808479,-0.0993143504467636,-0.0947741580649743,8.21176470588235
"34","sigma[1]",0.00300725426290313,0.00335658746768534,0.00375289726534761,8.21176470588235
"35","mu[1]",-0.103652320702527,-0.0992528003565364,-0.0947946940313213,8.79117647058823
"36","sigma[1]",0.00286164568709872,0.0031983034928105,0.00355929191377466,8.79117647058823
"37","mu[1]",-0.103559937964642,-0.0993142211256397,-0.0952366293200684,9.37058823529412
"38","sigma[1]",0.00276143433424888,0.0030683480511062,0.00340704125526851,9.37058823529412
"39","mu[1]",-0.103331825596035,-0.0993749565260593,-0.0953172661648197,9.95
"40","sigma[1]",0.00265278081149683,0.00294386870252695,0.00325284681673682,9.95
"41","mu[1]",-0.10325350624098,-0.099321860013145,-0.0955420460153753,10
"42","sigma[1]",0.0026346953633307,0.00292776335396568,0.00325660704163278,10
