"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-0.111563731727672,-0.0976285225219405,-0.0839680274519539,0
"2","sigma[1]",0.00838621748039081,0.0102133604961867,0.0124884758468215,0
"3","mu[1]",-0.11119361485735,-0.0975251996417262,-0.0839056517205653,0.05
"4","sigma[1]",0.00833873726846386,0.0101382880974554,0.0124752445287162,0.05
"5","mu[1]",-0.110293578344566,-0.0981802961057394,-0.0861138687712583,0.573684210526316
"6","sigma[1]",0.00744999016259866,0.00896187935390348,0.0107264211189128,0.573684210526316
"7","mu[1]",-0.109216179820086,-0.098022909836392,-0.0871163249469754,1.09736842105263
"8","sigma[1]",0.00678399747196988,0.00803591623645599,0.00952940022972373,1.09736842105263
"9","mu[1]",-0.108176153019399,-0.0982906523674777,-0.0882834527033821,1.62105263157895
"10","sigma[1]",0.00617906668908734,0.00728519129146836,0.00862526571915999,1.62105263157895
"11","mu[1]",-0.10718127540504,-0.0984644900505122,-0.0895436511444776,2.14473684210526
"12","sigma[1]",0.00569597748129243,0.0066732459961541,0.00780287267597491,2.14473684210526
"13","mu[1]",-0.106861681892128,-0.0985496404315267,-0.090197122050783,2.66842105263158
"14","sigma[1]",0.00532522941214261,0.0061613894277746,0.00712589888630336,2.66842105263158
"15","mu[1]",-0.106532601784533,-0.0986400405053507,-0.0909218414230158,3.19210526315789
"16","sigma[1]",0.00494989943988421,0.00569906834897536,0.00658899049768575,3.19210526315789
"17","mu[1]",-0.10596314478468,-0.0986924873784953,-0.0913149996314788,3.71578947368421
"18","sigma[1]",0.00462281619697017,0.00532318011208017,0.00612620591221898,3.71578947368421
"19","mu[1]",-0.105923315958521,-0.0988776573790934,-0.0921117205510308,4.23947368421053
"20","sigma[1]",0.00434468159590662,0.00498228665195893,0.0056541371983163,4.23947368421053
"21","mu[1]",-0.105164636381032,-0.0988648539416492,-0.0924015109933898,4.76315789473684
"22","sigma[1]",0.00409906079665639,0.00468085657241146,0.00533631428483726,4.76315789473684
"23","mu[1]",-0.105101151500926,-0.0990385168610296,-0.0929537695870077,5.28684210526316
"24","sigma[1]",0.00388653465016144,0.00442913789280167,0.00505556163537617,5.28684210526316
"25","mu[1]",-0.104991885474745,-0.099121015357087,-0.093325341888469,5.81052631578947
"26","sigma[1]",0.00369704023070465,0.00417818807842992,0.00477882975798911,5.81052631578947
"27","mu[1]",-0.10441249038131,-0.0991221138796528,-0.0938292925108515,6.33421052631579
"28","sigma[1]",0.00350124188471009,0.00395721704581029,0.00445813517433716,6.33421052631579
"29","mu[1]",-0.104338713628665,-0.0991742440916291,-0.0939094195432462,6.8578947368421
"30","sigma[1]",0.00334800983372035,0.00376983031236092,0.00424729175817294,6.8578947368421
"31","mu[1]",-0.103972474992007,-0.0991818313871415,-0.0942823879469414,7.38157894736842
"32","sigma[1]",0.00321457073583958,0.00361211087374626,0.00409290475944149,7.38157894736842
"33","mu[1]",-0.104031257119578,-0.0992199786187807,-0.0944548166053366,7.90526315789474
"34","sigma[1]",0.0030626147283971,0.00344498716027542,0.00386853927300763,7.90526315789474
"35","mu[1]",-0.103629824980035,-0.0992856618253894,-0.0949306840845583,8.42894736842105
"36","sigma[1]",0.00296317638913546,0.00329992312758355,0.00367103324861845,8.42894736842105
"37","mu[1]",-0.103556858201457,-0.099286949530003,-0.0950526934159437,8.95263157894737
"38","sigma[1]",0.00282997525621927,0.00316482624295293,0.00354112710302885,8.95263157894737
"39","mu[1]",-0.103467251977862,-0.0993452706154065,-0.0952909790455987,9.47631578947368
"40","sigma[1]",0.00272492709244456,0.00304167387066103,0.00339391380108388,9.47631578947368
"41","mu[1]",-0.103179020748884,-0.0993002833612954,-0.0953225899427676,10
"42","sigma[1]",0.00263409187821026,0.00293243538240731,0.00326022261887122,10
