"","parameter","lwr","mean","upr","a_0"
"1","theta[1]",0.0353929952494792,0.50969654866124,0.975210413326576,0
"2","theta[1]",0.0453487175662034,0.114612453818255,0.213310891435497,0.05
"3","theta[1]",0.0545427697801931,0.105776463372566,0.171750509080401,0.1
"4","theta[1]",0.0626936275667881,0.104436844465299,0.152891555143629,0.170833333333333
"5","theta[1]",0.0699726567793379,0.104004007759145,0.142896262017677,0.241666666666667
"6","theta[1]",0.0712950524394665,0.102609115320443,0.139811878971755,0.3125
"7","theta[1]",0.0736413646477124,0.101949760854196,0.13355062023429,0.383333333333333
"8","theta[1]",0.0759624244714041,0.101612357532785,0.131435859151546,0.454166666666667
"9","theta[1]",0.0782442204323642,0.102200122047583,0.129010318246059,0.525
"10","theta[1]",0.0785587788454779,0.101251034859922,0.125787281677492,0.595833333333333
"11","theta[1]",0.0795311700239364,0.101444134280036,0.12596937738445,0.666666666666667
"12","theta[1]",0.0808010904210407,0.10111321079042,0.123562063691064,0.7375
"13","theta[1]",0.0818588505513089,0.100910416584153,0.122898176084542,0.808333333333333
"14","theta[1]",0.0819741448892688,0.100663766551407,0.121257735792299,0.879166666666667
"15","theta[1]",0.0832995528507455,0.101076326372218,0.120515368299813,0.95
"16","theta[1]",0.0833761998738805,0.100657261161073,0.119976501961737,1
