"","parameter","lwr","mean","upr","a_0"
"1","mu[1]",-1.98579516822624,-0.0376113832438652,1.81899408975793,0
"2","sigma[1]",0.516150503610439,1.6752262194611,5.98974103655946,0
"3","mu[1]",-0.705671543337711,-0.0310563117213719,0.614737733913691,0.05
"4","sigma[1]",0.399068933563103,0.807960540344565,1.70338595246993,0.05
"5","mu[1]",-0.109288995958105,-0.0981277609173972,-0.0869158185486985,5.025
"6","sigma[1]",0.0827076788169139,0.0902525451642434,0.0984997895797045,5.025
"7","mu[1]",-0.118006241651752,-0.0963301485790941,-0.0739058347598552,2.5375
"8","sigma[1]",0.11251924297135,0.12683506698301,0.143957401183068,2.5375
"9","mu[1]",-0.136434804554212,-0.0930061391815545,-0.0507890896617913,1.29375
"10","sigma[1]",0.150044757333874,0.177419439243525,0.21113550663407,1.29375
"11","mu[1]",-0.164970642857465,-0.0863342144478411,-0.00535638453762018,0.671875
"12","sigma[1]",0.194630199537634,0.244777833272055,0.313979481960683,0.671875
"13","mu[1]",-0.216776916293871,-0.0761993337534513,0.0615877922783621,0.3609375
"14","sigma[1]",0.245636181464566,0.332250002678296,0.458513283551428,0.3609375
"15","mu[1]",-0.309902218312629,-0.0685889900329441,0.162277304113568,0.20546875
"16","sigma[1]",0.295013157025192,0.437749828849924,0.667538268369394,0.20546875
"17","mu[1]",-0.185128864896859,-0.0860147347170809,0.0111171406730179,0.51640625
"18","sigma[1]",0.21751151512586,0.278618306689318,0.365097257796916,0.51640625
"19","mu[1]",-0.159359907600177,-0.0872133762883387,-0.0176572444461553,0.76640625
"20","sigma[1]",0.185310263923805,0.229607728915903,0.287591455098309,0.76640625
"21","mu[1]",-0.104435544178898,-0.098997593547967,-0.0937309304936619,10
"22","sigma[1]",0.0602228880340195,0.0639935361215054,0.0680357476673013,10
